1.10-歷年各鄉鎮市區人口數  Population for Township and District since 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人 Unit : Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域別,,70年底,75年底,80年底,81年底,82年底,83年底,84年底,85年底,86年底,87年底,88年底,89年底,90年底,91年底,92年底,93年底,94年底,95年底,96年底,97年底,98年底,99年底,100年底,101年底,102年底,,,,
Locality,,"End of 
石門區,Shihmen District,"10,480","9,951","9,452","9,860","9,952","9,870","9,915","9,984","10,034","10,265","10,860","10,859","11,158","11,381","11,306","11,311","11,626","11,703","11,857","12,023","12,380","12,700","12,841","12,798","12,794",,,,
八里區,Bali District,"14,860","16,350","17,648","18,005","19,667","20,844","22,302","24,119","25,470","26,294","27,576","28,519","29,624","30,366","30,955","31,453","31,989","32,470","32,738","33,231","33,958","34,791","35,423","35,721","36,201",,,,
平溪區,Pingsi District,"10,481","8,162","6,969","6,925","7,236","6,855","6,608","6,339","6,400","6,227","5,961","5,793","6,257","6,029","5,845","5,789","6,313","5,855","5,627","5,520","5,447","5,344","5,197","5,109","5,002",,,,
雙溪區,Shuangsi District,"16,239","14,325","12,145","12,051","12,075","11,359","11,026","10,721","10,951","10,446","10,181","9,976","10,483","10,237","10,061","9,983","10,371","9,986","9,963","9,877","9,832","9,729","9,555","9,465","9,412",,,,
貢寮區,Gongliao District,"17,180","15,659","14,166","14,289","14,293","14,129","13,897","13,848","13,715","13,616","13,704","13,550","13,784","14,439","14,077","14,091","14,255","14,006","14,032","13,970","13,876","13,776","13,538","13,412","13,306",,,,
金山區,Jinshan District,"19,564","19,156","18,751","18,912","19,457","19,466","19,861","20,128","20,797","20,824","21,155","21,293","21,611","21,802","21,851","21,910","21,972","22,191","22,215","22,306","22,408","22,380","22,447","22,486","22,392",,,,
萬里區,Wanli District,"18,982","18,340","18,755","19,215","19,543","19,312","19,126","18,816","18,653","18,678","18,770","18,574","18,480","18,698","19,061","19,038","19,805","20,231","20,635","21,085","21,604","22,009","22,204","22,429","22,618",,,,
烏來區,Wulai District,"3,151","3,079","3,247","3,312","3,627","3,512","3,500","3,502","3,742","3,813","3,906","4,086","4,531","4,631","4,740","4,879","5,128","5,337","5,402","5,603","5,748","5,811","5,927","5,975","6,036",,,,
 臺北市,Taipei City,"2,270,983","2,575,180","2,717,992","2,696,073","2,653,245","2,653,578","2,632,863","2,605,374","2,598,493","2,639,939","2,641,312","2,646,474","2,633,802","2,641,856","2,627,138","2,622,472","2,616,375","2,632,242","2,629,269","2,622,923","2,607,428","2,618,772","2,650,968","2,673,226","2,686,516",台北市,70年底,75年底,
松山區,Songshan District ,(詳右表16區),,"217,353","213,639","213,090","213,496","211,064","209,932","205,823","208,198","207,615","207,303","205,031","205,289","205,593","205,962","208,101","209,422","210,986","210,097","207,995","208,434","209,948","210,905","210,343",合計,"2,270,983","2,575,180",
信義區,Sinyi District ,,,"245,447","247,726","245,255","246,925","243,780","240,212","239,888","242,500","241,917","240,294","237,530","237,362","234,590","232,506","230,780","231,476","228,868","227,770","225,364","225,092","226,541","227,734","228,496",松山區,"381,370","433,007",
大安區,Daan District ,,,"352,107","341,765","335,993","337,309","329,516","317,201","314,217","319,003","317,110","316,977","315,818","315,714","313,011","312,554","312,166","314,171","314,924","313,848","311,612","311,565","313,846","313,426","313,363",大安區,"280,559","316,334",
