1.10-歷年各鄉鎮市區人口數  Population for Township and District since 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人 Unit : Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域別,,70年底,75年底,80年底,81年底,82年底,83年底,84年底,85年底,86年底,87年底,88年底,89年底,90年底,91年底,92年底,93年底,94年底,95年底,96年底,97年底,98年底,99年底,100年底,101年底,102年底,,,,
Locality,,"End of 
安定區,Anding District,"27,316","27,262","27,679","27,957","28,307","28,784","29,092","29,153","29,550","29,693","29,854","29,933","29,949","29,947","29,891","29,963","29,844","29,830","30,066","30,111","30,129","30,232","30,263","30,298","30,215",,,,
山上區,Shanshang District,"8,690","8,342","8,259","8,256","8,401","8,120","8,074","8,034","8,160","8,135","8,109","8,103","8,279","8,190","8,103","8,110","8,182","8,125","8,112","8,036","8,021","7,864","7,757","7,696","7,570",,,,
玉井區,Yujing District,"20,112","19,109","18,409","18,266","18,136","17,889","17,726","17,497","17,435","17,266","17,179","17,076","16,945","16,821","16,597","16,484","16,260","16,006","15,868","15,696","15,579","15,413","15,223","15,058","14,821",,,,
楠西區,Nansi District,"14,100","13,829","13,030","12,892","12,778","12,673","12,624","12,440","12,418","12,258","12,082","11,932","11,835","11,638","11,477","11,295","11,242","11,149","11,024","10,871","10,794","10,663","10,445","10,272","10,186",,,,
南化區,Nanhua District,"11,192","10,783","9,729","9,769","9,702","9,962","9,842","9,874","10,089","9,777","9,594","9,513","9,563","9,307","9,148","9,031","9,057","9,061","8,982","8,980","9,009","8,925","8,840","8,814","8,894",,,,
左鎮區,Zuojhen District,"8,504","7,262","6,586","6,515","6,617","6,449","6,380","6,289","6,384","6,230","6,120","6,036","6,080","5,961","5,879","5,736","5,729","5,712","5,646","5,576","5,614","5,492","5,359","5,294","5,211",,,,
仁德區,Rende District,"52,677","55,732","59,716","60,587","61,265","62,983","64,282","64,505","65,243","65,298","65,789","66,182","66,172","66,245","66,682","66,834","67,433","68,107","67,838","68,481","68,947","69,343","70,232","71,270","72,444",,,,
歸仁區,Gueiren District,"41,973","53,846","57,872","59,665","60,893","57,683","59,335","60,764","61,662","62,352","63,248","63,926","63,961","64,073","64,078","64,229","64,604","65,171","65,564","65,729","65,924","65,819","66,104","66,655","67,101",,,,
關廟區,Guanmiao District,"37,531","39,175","39,170","39,211","39,055","39,127","39,308","39,248","39,158","38,900","38,791","38,618","38,386","38,348","38,100","37,882","37,531","37,307","37,036","36,715","36,380","36,026","35,593","35,353","35,105",,,,
龍崎區,Longci District,"6,545","5,851","4,990","4,932","5,610","5,054","4,843","4,724","4,626","4,615","4,512","4,404","4,418","4,413","4,315","4,348","4,379","4,406","4,440","4,464","4,433","4,382","4,311","4,325","4,310",,,,
永康區,Yongkang District,"81,854","107,982","141,479","147,272","155,745","166,359","173,552","179,214","184,740","189,631","193,005","197,194","198,372","200,719","202,552","204,196","206,411","208,919","210,585","212,540","214,622","216,748","220,825","224,303","226,875",,,,
東區,East District ,"147,715","139,269","156,914","159,025","161,206","162,827","166,324","169,777","172,072","174,766","178,431","181,538","185,752","187,680","189,344","192,331","192,774","192,157","193,764","194,234","194,401","194,183","193,782","192,972","191,576",,,,
南區,South District,"103,777","123,660","141,562","141,970","141,560","141,707","139,763","137,746","136,162","136,051","135,063","134,371","133,241","133,036","132,345","130,676","128,598","128,225","127,750","127,390","126,571","126,173","126,129","126,018","125,611",,,,
西區,West District,"55,350","52,838","51,370","50,928","50,786","48,795","47,853","46,316","46,389","45,218","44,199","43,621","43,618","43,570","43,853",,,,,,,,,,,,,,
北區,North District,"130,013","128,387","126,225","125,689","125,284","123,078","121,173","120,651","120,476","119,098","118,338","118,777","119,721","120,557","122,337","124,164","126,124","127,687","128,314","130,094","131,203","131,925","132,098","132,233","132,336",,,,
中區,Central District ,"40,824","65,829","57,065","56,140","55,067","53,406","52,400","51,070","49,083","48,185","46,705","45,476","44,414","42,943","41,587",,,,,,,,,,,,,,
安南區,Annan District ,"97,998","118,408","135,016","138,569","142,217","145,340","148,577","151,437","154,738","157,947","160,884","163,291","164,557","165,790","166,867","168,418","169,946","172,344","174,309","175,630","177,116","178,119","179,987","182,749","185,412",,,,
安平區,Anping District ,"19,062","17,907","21,389","22,309","24,350","27,505","30,721","33,957","38,891","40,567","44,440","47,576","49,543","51,505","53,295","55,264","56,177","57,626","59,275","60,613","61,740","62,602","63,593","64,348","64,589",,,,
中西區,West Central District ,,,,,,,,,,,,,,,,"84,064","83,240","81,998","81,246","80,492","80,029","79,271","78,741","78,666","78,498",,,,
高雄市,Kaohsiung City,"2,245,517","2,400,749","2,528,578","2,552,487","2,572,147","2,595,883","2,619,947","2,641,749","2,663,302","2,689,374","2,705,857","2,725,267","2,731,415","2,742,905","2,746,819","2,751,602","2,753,486","2,760,180","2,764,868","2,769,054","2,770,887","2,773,483","2,774,470","2,778,659","2,779,877",,,,
鹽埕區,Yancheng District ,"43,947","40,423","35,827","35,035","34,733","34,164","33,584","33,008","33,226","32,393","31,961","31,506","31,077","30,890","30,298","29,815","29,410","29,008","28,635","28,067","27,651","27,399","26,723","26,222","25,847",,,,
鼓山區,Gushan District ,"100,593","104,827","110,482","111,921","110,879","110,136","109,855","110,016","109,957","110,549","109,272","108,667","107,647","107,855","108,157","111,635","114,789","118,777","122,551","125,641","129,521","131,728","132,868","133,964","135,102",,,,
左營區,Zuoying District ,"109,760","105,947","108,858","110,891","112,460","115,562","121,302","128,728","133,413","141,788","152,070","160,363","165,952","172,327","176,565","179,441","181,133","183,705","186,026","188,671","189,944","191,991","193,482","194,815","195,436",,,,
楠梓區,Nanzih District ,"87,674","104,019","121,472","124,512","128,304","133,100","137,549","141,330","144,094","148,179","151,274","154,073","155,449","157,067","159,279","161,814","163,815","166,101","168,728","170,416","171,906","173,053","173,969","175,798","177,579",,,,
三民區,Sanmin District ,"246,136","290,384","324,352","327,828","327,590","330,921","336,803","340,732","342,105","349,108","352,936","357,024","357,536","360,832","361,305","360,363","358,124","357,862","357,096","355,927","355,097","354,022","352,159","349,710","348,488",,,,
新興區,Sinsing District ,"79,090","76,695","70,322","69,342","68,278","67,854","65,720","62,978","62,430","62,199","61,175","60,738","60,653","61,188","59,862","59,486","58,711","58,067","57,373","56,704","55,744","55,287","54,345","53,749","53,170",,,,
前金區,Cianjin District ,"46,677","43,217","38,435","38,134","37,094","37,225","36,462","35,691","35,021","34,973","34,081","33,474","32,870","32,597","32,001","31,309","30,766","30,325","29,965","29,774","29,208","28,859","28,446","28,250","28,038",,,,
苓雅區,Lingya District ,"193,032","216,241","220,300","219,351","216,970","215,710","212,984","208,593","203,124","204,494","202,599","201,387","199,535","199,250","196,942","193,997","191,705","189,820","188,020","186,765","185,021","183,948","181,717","179,512","177,716",,,,
前鎮區,Cianjhen District ,"198,545","199,404","208,410","207,151","205,197","204,743","201,710","201,477","200,026","202,081","202,794","203,385","203,001","204,083","202,230","201,871","200,511","200,660","200,427","200,614","199,951","199,144","197,693","196,246","194,835",,,,
旗津區,Cijin District ,"36,136","34,446","34,487","34,474","34,117","33,816","33,120","32,034","32,103","31,697","31,032","30,939","30,872","30,480","30,072","29,828","30,210","30,158","30,049","29,940","29,975","29,968","29,781","29,468","29,040",,,,
小港區,Siaogang District ,"85,864","104,949","123,480","127,270","129,727","133,017","136,946","139,034","140,643","144,841","146,311","149,004","149,865","152,941","152,639","153,118","151,475","150,223","151,685","153,123","153,896","154,548","154,772","155,779","156,115",,,,
鳳山區,Fongshan District ,"227,310","271,738","293,522","294,471","298,059","301,374","303,956","309,062","315,488","316,350","318,562","321,707","322,678","323,799","328,878","333,474","336,510","338,596","338,900","339,240","339,952","341,120","345,346","349,816","352,574",,,,
林園區,Linyuan District ,"55,301","58,095","63,311","64,933","66,346","68,379","70,175","71,033","71,473","71,764","71,892","72,184","72,173","71,255","71,117","70,752","71,370","71,562","71,336","70,979","70,770","70,512","70,439","70,383","70,436",,,,
大寮區,Daliao District ,"82,044","86,729","96,336","101,218","105,888","107,483","110,589","112,526","114,932","115,150","115,897","115,692","115,396","114,342","114,022","110,745","109,648","109,607","109,313","109,449","109,257","108,984","109,157","109,780","110,449",,,,
大樹區,Dashu District ,"41,859","42,627","44,172","44,618","45,690","46,040","46,340","46,972","47,420","47,167","47,137","46,927","46,588","46,085","45,802","45,576","45,245","45,128","44,871","44,585","44,230","43,955","43,609","43,429","43,418",,,,
大社區,Dashe District,"20,267","22,794","26,737","27,922","29,134","30,162","31,161","32,269","33,323","33,139","33,186","33,118","33,613","32,580","32,489","32,307","32,501","32,621","32,692","32,843","32,808","32,941","33,296","33,766","34,097",,,,
仁武區,Renwu District,"29,382","32,505","36,803","37,878","40,128","42,636","44,682","46,150","47,663","49,303","51,225","53,206","54,572","55,768","57,773","60,555","63,385","66,129","67,881","68,995","70,242","72,202","74,867","77,371","79,392",,,,
鳥松區,Niaosong District,"22,231","25,439","29,051","29,990","31,222","31,956","32,821","34,240","36,366","36,713","37,207","37,863","38,718","39,080","39,730","40,129","40,582","40,982","41,314","41,730","42,135","42,595","43,191","43,696","43,781",,,,
岡山區,Gangshan District,"78,585","81,373","84,655","85,991","86,834","88,227","89,284","90,651","91,015","92,186","92,864","93,541","93,975","94,235","94,822","95,381","95,548","95,680","96,138","96,731","97,095","97,102","97,417","97,587","97,800",,,,
橋頭區,Ciaotou District,"33,991","35,517","36,376","36,591","37,194","37,562","37,955","38,085","38,873","38,281","38,136","37,996","37,780","37,721","37,392","37,174","36,975","36,874","36,653","36,439","36,284","36,415","36,809","36,962","37,010",,,,
燕巢區,Yanchao District,"30,445","32,938","32,703","32,936","33,280","33,204","33,179","33,092","33,118","32,911","32,804","32,561","32,136","31,794","31,711","31,618","31,493","31,550","31,227","31,220","31,059","30,790","30,941","30,758","30,542",,,,
田寮區,Tianliao District,"12,674","11,013","10,164","10,166","10,831","10,015","9,888","10,030","10,120","10,041","9,823","9,622","9,715","9,501","9,238","8,979","8,878","8,721","8,576","8,441","8,325","8,214","8,012","7,852","7,732",,,,
阿蓮區,Alian District,"27,226","28,634","29,666","29,885","30,172","30,429","30,691","31,013","31,140","31,327","31,350","31,595","31,446","31,414","31,361","31,248","31,080","30,940","30,907","30,698","30,613","30,383","30,225","30,033","29,795",,,,
路竹區,Lujhu District,"47,518","49,690","51,503","51,754","51,913","52,452","52,814","52,981","53,045","53,257","53,408","53,589","53,582","53,963","54,103","54,271","54,588","54,703","54,576","54,369","54,137","53,791","53,443","53,145","53,036",,,,
湖內區,Hunei District,"25,347","25,536","25,814","25,974","25,983","26,242","26,788","27,214","27,877","28,375","28,670","28,890","28,746","28,651","28,460","28,470","28,510","28,702","28,605","28,634","28,697","28,827","28,806","29,120","29,203",,,,
茄萣區,Jiading District,"32,354","33,116","33,030","33,353","33,492","33,285","33,344","33,549","33,376","33,498","33,245","33,235","33,359","32,946","32,790","32,670","32,500","32,241","32,021","31,762","31,583","31,433","31,008","30,999","30,868",,,,
永安區,Yongan District,"10,660","10,587","11,184","11,256","12,086","12,655","13,292","13,680","15,227","14,787","14,552","14,661","14,894","14,627","14,415","14,427","14,456","14,308","14,223","14,134","14,253","14,301","14,106","14,129","14,138",,,,
彌陀區,Mituo District,"21,580","21,563","21,512","21,694","21,885","21,981","21,906","21,876","23,005","21,906","21,784","21,762","21,762","21,575","21,518","21,262","21,157","20,998","20,830","20,714","20,613","20,433","20,217","20,123","19,920",,,,
梓官區,Zihguan District,"35,391","36,821","38,308","38,718","39,162","39,347","39,559","39,632","40,444","39,878","39,603","39,318","39,218","39,124","38,669","38,435","38,052","37,582","37,218","36,976","36,867","36,726","36,559","36,519","36,381",,,,
旗山區,Cishan District,"51,711","48,706","46,901","47,039","46,786","46,239","45,983","45,521","45,457","44,807","44,176","43,880","43,528","43,116","42,788","42,358","41,787","41,404","41,054","40,720","40,368","39,873","39,423","39,038","38,563",,,,
美濃區,Meinong District,"54,713","51,931","50,668","50,552","50,394","50,006","49,408","48,797","48,216","47,662","47,160","46,558","46,246","45,961","45,538","45,187","44,846","44,506","44,130","43,710","43,444","42,993","42,658","42,157","41,668",,,,
六龜區,Liouguei District,"20,786","19,293","18,478","18,452","18,626","18,703","18,843","18,417","18,157","17,884","17,574","17,208","17,081","16,824","16,548","16,310","16,115","15,837","15,660","15,455","15,354","14,833","14,421","14,203","13,943",,,,
甲仙區,Jiasian District,"10,381","9,781","9,377","9,253","9,252","9,209","9,253","9,208","9,110","9,035","8,920","8,873","9,005","8,780","8,639","8,491","8,575","8,387","8,222","8,102","7,616","7,228","6,981","6,625","6,444",,,,
杉林區,Shanlin District,"16,492","14,924","13,983","13,947","14,192","13,971","13,756","13,757","13,852","13,379","13,129","12,910","12,676","12,448","12,151","11,941","11,790","11,589","11,390","11,186","11,102","11,842","12,136","12,577","12,587",,,,
內門區,Neimen District,"20,642","19,488","18,638","18,578","18,656","18,574","18,713","18,718","18,480","18,383","18,226","17,986","17,870","17,665","17,462","17,179","16,914","16,751","16,550","16,308","16,085","15,951","15,662","15,510","15,351",,,,
茂林區,Maolin District,"1,558","1,590","1,589","1,635","1,673","1,645","1,659","1,660","1,862","1,761","1,745","1,723","1,907","1,849","1,781","1,757","1,785","1,767","1,756","1,776","1,850","1,874","1,834","1,839","1,832",,,,
桃源區,Taoyuan District,"4,878","4,929","4,787","4,805","4,887","4,809","4,781","4,831","4,857","4,838","4,781","4,752","4,895","4,900","4,864","4,846","4,981","4,818","4,787","4,747","4,777","4,817","4,700","4,559","4,406",,,,
那瑪夏區,Namasia District,"2,737","2,840","2,885","2,969","3,033","3,050","3,092","3,164","3,264","3,290","3,296","3,350","3,399","3,392","3,408","3,383","3,566","3,491","3,483","3,469","3,457","3,401","3,252","3,170","3,145",,,,
 臺灣省,Taiwan Province,"8,048,494","8,245,011","8,416,556","8,487,834","8,568,640","8,631,000","8,699,194","8,765,324","8,837,202","8,874,470","8,922,231","8,974,035","9,030,079","9,065,714","9,098,047","9,124,211","9,154,098","9,176,178","9,197,860","9,219,922","9,252,915","9,242,980","9,227,680","9,233,673","9,234,448",,,,
宜蘭縣,Yilan County,"445,472","448,418","453,765","456,857","462,509","464,359","465,043","465,120","466,603","465,627","465,004","465,186","465,799","464,107","463,285","462,286","461,586","460,426","460,398","460,902","461,625","460,486","459,061","458,595","458,456",,,,
宜蘭市,Yilan City ,"82,644","85,234","88,710","89,059","89,649","91,133","92,313","92,542","92,038","92,013","91,908","91,951","92,097","92,768","93,623","94,188","94,606","95,383","96,094","95,874","95,831","95,568","95,521","96,016","95,985",,,,
羅東鎮,Luodong Township ,"58,086","62,919","65,456","65,590","65,678","66,460","66,921","67,569","68,075","68,480","69,193","69,777","70,258","70,775","72,020","73,196","73,629","74,018","74,173","73,722","73,038","72,958","72,860","72,468","72,352",,,,
蘇澳鎮,Suao Township ,"55,599","53,433","51,376","51,189","50,927","50,357","49,584","48,834","48,545","48,023","47,239","46,779","46,469","45,869","45,273","44,487","43,895","43,219","42,915","43,665","43,305","42,986","42,417","41,855","41,382",,,,
頭城鎮,Toucheng Township ,"35,058","35,187","34,669","34,507","34,692","34,625","34,391","34,120","33,624","33,632","33,340","33,337","33,113","33,062","32,817","32,577","32,188","31,924","31,610","31,300","31,161","30,899","30,556","30,304","30,043",,,,
礁溪鄉,Jiaosi Township ,"37,802","37,541","37,879","38,219","38,944","38,890","38,771","38,519","38,760","38,514","38,382","38,187","38,133","37,685","37,267","37,032","36,625","36,059","35,900","35,940","35,895","35,876","35,924","36,010","35,998",,,,
壯圍鄉,Jhuangwei Township ,"24,548","24,396","24,404","24,727","25,839","25,743","25,758","26,049","27,273","26,263","26,266","26,451","27,136","26,355","26,137","25,992","25,878","25,457","25,271","25,072","25,109","25,004","24,674","24,551","24,468",,,,
員山鄉,Yuanshan Township ,"32,258","31,830","31,435","31,921","32,257","32,771","32,953","33,080","33,819","33,919","33,971","33,932","34,153","33,566","33,254","32,833","32,711","32,506","32,345","32,213","32,378","32,347","32,304","32,106","32,159",,,,
冬山鄉,Dongshan Township ,"47,286","47,403","49,581","50,223","51,069","51,430","51,645","51,772","51,828","51,926","51,723","51,739","51,313","51,382","50,988","50,754","50,907","51,161","51,391","51,722","52,330","52,635","52,975","53,363","53,731",,,,
五結鄉,Wujie Township ,"36,218","36,101","36,834","37,220","37,513","37,995","38,420","38,406","38,233","38,827","39,123","39,393","39,034","38,897","38,468","38,047","37,702","37,686","37,821","38,469","38,797","38,850","38,772","38,999","39,230",,,,
三星鄉,Sansing Township ,"24,463","23,266","22,401","22,984","24,278","23,315","22,727","22,602","22,778","22,479","22,333","22,142","22,265","21,999","21,734","21,530","21,712","21,295","21,203","21,268","21,710","21,362","21,203","21,122","21,191",,,,
大同鄉,Datong Township ,"6,001","5,604","5,313","5,450","5,580","5,612","5,644","5,648","5,708","5,687","5,699","5,684","5,901","5,842","5,788","5,772","5,812","5,802","5,830","5,815","6,004","5,987","5,931","5,915","6,005",,,,
南澳鄉,Nanao Township ,"5,509","5,504","5,707","5,768","6,083","6,028","5,916","5,979","5,922","5,864","5,827","5,814","5,927","5,907","5,916","5,878","5,921","5,916","5,845","5,842","6,067","6,014","5,924","5,886","5,912",,,,
桃園縣,Taoyuan County,"1,093,621","1,232,209","1,385,165","1,415,546","1,448,186","1,483,955","1,524,127","1,570,456","1,614,471","1,650,984","1,691,292","1,732,617","1,762,963","1,792,603","1,822,075","1,853,029","1,880,316","1,911,161","1,934,968","1,958,686","1,978,782","2,002,060","2,013,305","2,030,161","2,044,023",,,,
桃園市,Taoyuan City ,"185,257","210,753","246,056","251,520","256,612","260,680","271,536","283,861","294,974","304,857","316,438","328,754","338,361","347,160","357,647","368,765","377,345","384,803","391,822","397,056","401,096","406,851","410,113","413,488","415,414",,,,
中壢市,Jhongli City ,"215,414","241,476","276,878","282,643","289,054","295,825","301,287","306,473","310,723","314,017","318,649","324,931","329,913","334,683","339,586","346,144","350,981","355,707","358,656","362,129","365,109","369,770","372,429","376,217","378,918",,,,
平鎮市,Pingjhen City ,"102,899","130,386","150,703","154,585","158,621","163,549","170,038","175,363","179,830","183,905","188,344","191,948","194,521","196,408","198,273","198,353","198,375","200,331","202,680","205,266","206,471","207,457","208,561","209,552","211,146",,,,
八德市,Bade City ,"95,934","117,487","135,897","137,953","142,822","152,821","148,899","151,759","154,412","158,133","161,700","164,933","166,355","167,085","168,910","169,703","170,695","171,697","172,125","173,585","175,127","176,868","177,435","178,889","179,502",,,,
楊梅市,Yangmei City,"82,341","89,763","98,943","101,247","103,216","105,696","108,249","113,606","118,958","122,950","126,323","129,419","131,694","133,432","134,937","136,178","138,258","140,641","142,895","145,347","148,092","150,926","152,441","154,324","155,754",,,,
大溪鎮,Dasi Township ,"69,014","74,087","77,658","78,545","79,355","78,711","80,993","81,646","82,119","82,443","82,925","83,348","83,631","84,265","84,497","86,070","87,591","89,365","90,393","91,146","91,875","92,081","91,979","91,891","91,961",,,,
蘆竹鄉,Lujhu Township ,"49,053","52,105","58,156","60,119","62,510","65,447","69,825","75,345","81,025","85,764","91,664","98,039","103,095","108,452","113,535","118,581","122,947","127,765","131,942","135,768","138,727","142,120","143,886","146,779","149,852",,,,
大園鄉,Dayuan Township ,"53,550","56,995","61,219","63,128","65,212","67,103","70,210","72,138","74,009","75,476","76,482","77,186","78,163","78,837","78,967","79,404","79,683","79,354","79,627","80,274","81,309","81,966","82,136","82,756","83,586",,,,
龜山鄉,Gueishan Township ,"74,779","86,022","95,756","98,134","99,438","99,102","103,481","106,052","108,866","110,352","112,195","114,391","115,466","117,969","119,843","122,705","125,214","129,846","131,691","133,977","135,692","137,996","138,355","139,605","140,509",,,,
龍潭鄉,Longtan Township ,"61,312","72,498","82,698","84,572","86,389","88,249","90,366","93,716","97,343","100,280","103,088","105,723","107,055","108,530","109,554","110,222","111,148","112,072","112,758","113,633","114,266","115,166","114,958","115,146","115,728",,,,
新屋鄉,Sinwu Township ,"46,080","45,050","45,750","46,775","47,420","47,881","48,314","48,998","49,243","49,050","49,195","49,100","49,079","49,454","49,578","49,593","49,634","49,844","49,961","49,683","49,576","49,112","48,652","48,276","48,025",,,,
觀音鄉,Guanyin Township ,"45,758","44,069","43,911","44,775","45,896","47,200","49,085","49,808","51,138","51,893","52,699","53,486","54,227","54,942","55,473","56,300","57,552","58,901","59,799","60,368","60,831","61,077","61,676","62,612","63,003",,,,
復興鄉,Fusing Township ,"12,230","11,518","11,540","11,550","11,641","11,691","11,844","11,691","11,831","11,864","11,590","11,359","11,403","11,386","11,275","11,011","10,893","10,835","10,619","10,454","10,611","10,670","10,684","10,626","10,625",,,,
新竹縣,Hsinchu County,"363,408","367,019","379,443","385,668","393,030","401,188","408,577","414,932","421,721","427,980","433,767","439,713","446,300","452,679","459,287","467,246","477,677","487,692","495,821","503,273","510,882","513,015","517,641","523,993","530,486",,,,
竹北市,Jhubei City ,"57,119","60,920","67,178","68,955","71,328","74,461","77,003","79,431","82,579","85,357","87,998","90,145","92,814","95,896","100,096","105,651","112,175","119,720","126,255","132,136","137,861","141,852","146,826","152,617","158,849",,,,
關西鎮,Guansi Township ,"37,296","34,502","33,227","33,235","33,148","33,055","32,813","32,706","32,357","32,387","32,299","32,460","32,704","32,849","32,887","32,759","32,896","32,713","32,673","32,451","32,431","31,775","31,553","31,239","30,919",,,,
新埔鎮,Sinpu Township ,"35,508","35,832","36,261","36,598","36,778","36,736","36,839","36,872","36,781","36,618","36,708","36,669","36,677","36,591","36,529","36,378","36,291","36,242","36,102","36,085","36,012","35,495","35,240","34,960","34,674",,,,
竹東鎮,Jhudong Township ,"70,630","73,573","76,632","77,789","79,043","80,644","81,552","82,912","84,408","85,472","86,595","88,062","89,347","91,272","92,743","93,993","94,789","95,824","96,546","97,086","97,089","96,751","96,421","96,594","96,326",,,,
湖口鄉,Hukou Township ,"47,088","50,353","54,078","55,515","57,220","59,122","61,223","62,349","63,428","64,604","65,932","67,511","68,421","69,728","70,535","71,420","72,363","73,418","74,214","75,066","75,546","75,408","75,921","76,501","76,753",,,,
橫山鄉,Hengshan Township ,"19,310","17,328","15,922","15,859","15,871","15,772","15,759","15,559","15,428","15,373","15,206","15,007","15,086","14,952","14,866","14,778","14,864","14,797","14,635","14,590","14,772","14,368","14,200","14,013","13,912",,,,
新豐鄉,Sinfong Township ,"31,975","33,968","37,187","38,192","39,036","40,088","41,056","42,391","43,673","44,559","45,529","46,293","46,972","47,364","47,954","48,823","50,311","51,029","51,664","52,334","52,761","53,288","53,610","54,427","55,386",,,,
芎林鄉,Cyonglin Township ,"18,409","17,964","17,824","18,082","18,244","18,615","19,014","19,391","19,561","19,908","20,370","20,744","20,897","20,795","20,662","20,551","20,615","20,744","20,778","20,879","20,963","20,778","20,519","20,354","20,256",,,,
寶山鄉,Baoshan Township ,"11,900","10,579","10,172","10,401","10,866","11,498","12,238","12,507","12,790","13,202","12,985","12,951","13,063","13,099","13,146","13,300","13,554","13,807","13,788","13,748","13,998","14,078","14,106","14,085","14,103",,,,
北埔鄉,Beipu Township ,"11,709","11,073","10,758","10,754","11,065","10,850","10,778","10,690","10,634","10,648","10,595","10,577","10,608","10,554","10,525","10,531","10,572","10,456","10,341","10,262","10,289","10,119","9,994","9,883","9,838",,,,
峨眉鄉,Emei Township ,"7,978","7,333","7,102","7,090","7,023","6,852","6,763","6,651","6,673","6,569","6,511","6,392","6,406","6,363","6,344","6,233","6,260","6,187","6,154","6,062","6,133","5,999","5,904","5,831","5,764",,,,
尖石鄉,Jianshih Township ,"9,120","8,701","8,319","8,432","8,446","8,475","8,551","8,499","8,457","8,375","8,224","8,162","8,350","8,351","8,274","8,220","8,334","8,204","8,207","8,161","8,351","8,439","8,731","8,964","9,167",,,,
五峰鄉,Wufong Township ,"5,366","4,893","4,783","4,766","4,962","5,020","4,988","4,974","4,952","4,908","4,815","4,740","4,955","4,865","4,726","4,609","4,653","4,551","4,464","4,413","4,676","4,665","4,616","4,525","4,539",,,,
苗栗縣,Miaoli County,"545,608","548,187","551,016","553,557","556,188","558,191","560,128","560,099","560,344","559,858","559,804","559,703","560,640","560,766","560,903","560,643","559,944","559,986","560,163","560,397","561,744","560,968","562,010","563,976","565,554",,,,
苗栗市,Miaoli City ,"82,114","85,633","88,907","89,043","89,309","89,565","89,719","89,806","89,989","90,041","90,403","90,877","91,059","90,977","91,226","91,109","90,747","90,828","91,082","91,136","90,826","90,703","90,900","91,007","91,109",,,,
苑裡鎮,Yuanli Township ,"49,470","48,971","48,598","48,748","48,662","48,820","49,184","49,311","49,415","49,430","49,485","49,463","49,437","49,474","49,340","49,329","49,178","49,024","49,071","49,034","49,016","48,645","48,506","48,452","48,493",,,,
通霄鎮,Tongsiao Township ,"44,692","44,081","43,533","43,581","43,385","43,250","43,063","42,748","42,384","41,957","41,782","41,347","41,249","41,046","40,720","40,336","39,990","39,581","39,218","38,773","38,535","37,977","37,614","37,449","37,155",,,,
竹南鎮,Jhunan Township ,"55,610","59,794","62,792","63,838","64,781","65,308","66,132","66,718","67,304","68,158","68,789","69,504","70,541","71,135","71,810","72,395","73,074","74,233","75,246","76,323","77,344","78,420","79,656","80,864","82,351",,,,
頭份鎮,Toufen Township ,"68,195","73,535","79,629","80,458","81,314","82,632","83,622","84,833","86,062","86,845","87,935","88,924","89,384","90,168","91,102","92,218","92,925","93,757","94,525","95,687","96,261","97,150","98,377","99,993","101,527",,,,
後龍鎮,Houlong Township ,"46,486","45,328","44,023","43,946","44,040","44,102","44,150","43,870","43,708","43,248","42,856","42,613","42,284","42,074","41,948","41,637","41,259","40,701","40,460","40,127","39,822","39,389","38,986","38,777","38,439",,,,
卓蘭鎮,Jhuolan Township ,"20,583","21,147","20,658","20,687","20,651","20,598","20,608","20,324","20,134","20,067","19,831","19,665","19,589","19,451","19,300","19,137","18,879","18,681","18,536","18,391","18,497","18,446","18,417","18,480","18,460",,,,
大湖鄉,Dahu Township ,"21,865","20,799","19,187","18,975","18,977","18,853","18,696","18,436","18,067","17,902","17,680","17,312","17,120","17,039","16,947","16,834","16,667","16,431","16,218","16,165","16,186","16,052","15,899","15,798","15,694",,,,
公館鄉,Gongguan Township ,"33,074","32,984","33,182","33,515","33,983","34,268","34,676","34,702","34,614","34,625","34,559","34,773","34,875","34,884","34,753","34,635","34,518","34,577","34,647","34,744","34,813","34,745","34,847","34,932","34,790",,,,
銅鑼鄉,Tongluo Township ,"22,218","20,982","20,846","20,987","21,026","21,040","20,953","21,042","21,256","21,000","20,980","20,829","20,692","20,603","20,639","20,501","20,265","20,086","19,885","19,597","19,633","19,401","19,332","19,178","19,036",,,,
南庄鄉,Nanjhuang Township ,"19,486","16,659","14,376","14,327","14,073","13,897","13,642","13,324","13,048","12,816","12,532","12,247","12,239","12,102","11,911","11,807","11,695","11,628","11,449","11,301","11,318","11,117","11,010","10,863","10,742",,,,
頭屋鄉,Touwu Township ,"12,749","12,756","12,721","12,790","12,936","12,799","12,764","12,650","12,646","12,677","12,504","12,366","12,293","12,294","12,209","12,105","12,092","12,025","11,906","11,678","11,702","11,605","11,513","11,454","11,408",,,,
三義鄉,Sanyi Township ,"17,175","17,554","17,707","17,910","17,995","18,151","18,298","18,279","18,250","18,179","18,099","18,020","18,071","18,092","17,956","17,936","17,990","17,883","17,687","17,643","17,713","17,548","17,487","17,495","17,411",,,,
西湖鄉,Sihu Township ,"11,942","10,840","9,981","9,897","9,766","9,723","9,608","9,525","9,284","9,054","8,870","8,667","8,599","8,476","8,352","8,265","8,204","8,126","7,985","7,924","7,939","7,869","7,801","7,748","7,649",,,,
