十五大癌症第七位攝護腺癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國九十四年_2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 20,874 "," 20,874 ", - , 1 , 1 , - , 1 , 1 , - , - , - , - , 3 , 3 , - , 7 , 7 , - , 24 , 24 , - , 40 , 40 , - , 41 , 41 , - , 125 , 125 , - , 268 , 268 , - , 643 , 643 , - ," 1,042 "," 1,042 ", - ," 1,705 "," 1,705 ", - ," 2,603 "," 2,603 ", - ," 4,143 "," 4,143 ", - ," 5,124 "," 5,124 ", - ," 3,269 "," 3,269 ", - ," 1,835 "," 1,835 ", - 
台北市Taipei City," 5,105 "," 5,105 ", - , - , - , - , - , - , - , - , - , - , 2 , 2 , - , 2 , 2 , - , 7 , 7 , - , 10 , 10 , - , 18 , 18 , - , 44 , 44 , - , 103 , 103 , - , 225 , 225 , - , 352 , 352 , - , 442 , 442 , - , 650 , 650 , - , 885 , 885 , - ," 1,123 "," 1,123 ", - , 768 , 768 , - , 474 , 474 , - 
台北縣 Taipei County," 3,079 "," 3,079 ", - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 7 , 7 , - , 15 , 15 , - , 9 , 9 , - , 27 , 27 , - , 71 , 71 , - , 148 , 148 , - , 221 , 221 , - , 318 , 318 , - , 367 , 367 , - , 554 , 554 , - , 682 , 682 , - , 426 , 426 , - , 233 , 233 , - 
宜蘭縣Ilan County, 444 , 444 , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , 6 , 6 , - , 7 , 7 , - , 18 , 18 , - , 28 , 28 , - , 63 , 63 , - , 95 , 95 , - , 105 , 105 , - , 78 , 78 , - , 41 , 41 , - 
基隆市Keelung City, 301 , 301 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , 3 , - , 2 , 2 , - , 6 , 6 , - , 14 , 14 , - , 25 , 25 , - , 33 , 33 , - , 61 , 61 , - , 75 , 75 , - , 56 , 56 , - , 26 , 26 , - 
金門縣Kinmen County, 91 , 91 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 2 , 2 , - , 4 , 4 , - , 10 , 10 , - , 8 , 8 , - , 20 , 20 , - , 19 , 19 , - , 12 , 12 , - , 11 , 11 , - , 4 , 4 , - 
連江縣Lienchiang County, 6 , 6 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 1 , 1 , - , 2 , 2 , - , 1 , 1 , - , 1 , 1 , - , - , - , - , - , - , - 
